Year,State,SA3 code,SA3 name,SA3 group,Service,Per cent of people who had the service (%),Services per 100 people,Medicare benefits per 100 people ($)
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,Nursing and Aboriginal Health Workers (total),6.32,11.58,$195 
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,Early Intervention Services for Children,0.11,0.11,$26 
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,Psychiatry,2.1,10.68,"$1,478 "
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,Specialist attendances (total),15.81,37.45,"$3,551 "
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,Specialist attendances (total),20.28,53.22,"$4,614 "
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,Specialist attendances (total),34.55,105.64,"$8,313 "
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,Specialist attendances (total),56.52,203.16,"$14,723 "
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,Specialist attendances (total),26.78,79.53,"$6,426 "
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,Specialist attendances (total),29.69,89.76,"$7,184 "
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,Specialist attendances (total),23.8,69.04,"$5,651 "
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,Allied Health subtotal - Mental Health Care,5.01,21.88,"$2,181 "
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,Clinical Psychologist,1.73,7.08,895
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,Other Allied Mental Health,0.63,2.88,$239 
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,Other Psychologist,2.9,11.92,"$1,047 "
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,Allied Health subtotal - Optometry,25.63,33.48,"$1,564 "
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,Allied Health subtotal - Other,4.54,11.26,$608 
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,Audiology,0.07,0.08,$4 
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,Diabetes Education,0.15,0.23,$12 
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,Dietetics,1.66,2.77,$146 
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,Occupational Therapy,0.19,0.47,$31 
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,Other Allied Health,0.23,0.29,$15 
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,Podiatry,2.51,6.54,$347 
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,Speech Pathology,0.26,0.89,$53 
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,Allied Health subtotal - Physical Health Care,4.33,13.32,$705 
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,Chiropractic Services,0.41,1.34,$71 
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,Exercise Physiology,0.62,1.03,$53 
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,Osteopathy,0.05,0.13,$7 
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,Physiotherapy,3.54,10.81,$574 
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,Allied Health attendances (total),20.86,47.95,"$3,284 "
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,Allied Health attendances (total),29.08,68.51,"$4,701 "
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,Allied Health attendances (total),49.68,119.69,"$7,124 "
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,Allied Health attendances (total),70.9,217.14,"$11,747 "
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,Allied Health attendances (total),32.5,79.94,"$5,059 "
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,Allied Health attendances (total),37.25,94.07,"$5,982 "
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,Allied Health attendances (total),27.74,65.73,"$4,131 "
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,Diagnostic Imaging (total),22.83,41.75,"$3,856 "
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,Diagnostic Imaging (total),41.78,101.33,"$11,819 "
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,Diagnostic Imaging (total),53.01,158.24,"$21,945 "
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,Diagnostic Imaging (total),67.9,247.03,"$37,418 "
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,Diagnostic Imaging (total),37.87,97.52,"$12,213 "
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,Diagnostic Imaging (total),43.89,120.96,"$14,412 "
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,Diagnostic Imaging (total),31.82,73.96,"$10,003 "
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,GP After-hours (non-urgent),33.21,64.41,"$3,473 "
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,GP After-hours (urgent),6.94,9.81,"$1,227 "
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,GP subtotal - After-hours,36.67,74.22,"$4,700 "
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,GP Chronic Disease Management Plan,12.59,31.82,"$3,447 "
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,GP Health Assessment,3.56,3.68,$708 
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,GP Mental Health,9.55,16.44,"$1,342 "
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,GP Multidisciplinary Case Conference,0.17,0.29,$32 
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,GP subtotal - Enhanced Primary Care,21.72,52.44,"$5,559 "
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,Medication Management Review (domiciliary),0.13,0.13,$20 
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,Medication Management Review (residential),0.08,0.08,$9 
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,GP Acupuncture,0.32,2.49,$101 
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,GP Long (Level C),38.22,82.89,"$5,972 "
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,GP Focussed Psychological Strategies and Family Group Therapy,0.07,0.22,$28 
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,GP Pregnancy Support Counselling,0.11,0.13,$10 
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,GP Prolonged - Imminent danger of death,0.08,0.09,$20 
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,GP Prolonged (Level D),5.03,7.22,$768 
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,GP Short (Level A),6.84,9.14,$158 
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,GP Standard (Level B),84.81,415.99,"$15,461 "
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,GP subtotal - Other,88.85,543.44,"$23,130 "
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,GP Telehealth (patient-end),0.03,0.04,$3 
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,Other Non-referred Medical Practitioner,11.31,25.24,$607 
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,Asthma Cycle of Care PIP,0.22,0.22,$11 
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,Cervical Smear PIP,0.33,0.33,$21 
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,Diabetes Mellitus Annual Cycle of Care PIP,0.62,0.62,$38 
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,GP subtotal - PIP,1.16,1.17,$70 
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,GP attendances (total),89.54,514.35,"$24,531 "
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,GP attendances (total),88.3,646.42,"$32,099 "
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,GP attendances (total),94.85,815.85,"$41,756 "
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,GP attendances (total),100,"1,341.81","$71,134 "
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,GP attendances (total),91.22,671.27,"$33,459 "
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,GP attendances (total),94.59,768.34,"$38,622 "
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,GP attendances (total),87.82,573.72,"$28,270 "
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,Midwifery,0.11,0.55,$32 
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,Nurse Practitioners,0.49,1.12,$33 
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,Practice Nurse/Aboriginal Health Worker,3.97,8.11,$129 
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,Nursing and Aboriginal Health Workers (total),2.27,4.27,$99 
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,Nursing and Aboriginal Health Workers (total),3.38,7.51,$206 
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,Nursing and Aboriginal Health Workers (total),7.05,15.11,$241 
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,Nursing and Aboriginal Health Workers (total),16.63,39.48,$603 
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,Nursing and Aboriginal Health Workers (total),4.52,9.79,$195 
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,Nursing and Aboriginal Health Workers (total),4.97,11.15,$244 
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,Nursing and Aboriginal Health Workers (total),4.07,8.42,$145 
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,Early Intervention Services for Children,0.11,0.11,$26 
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,Psychiatry,1.42,7.05,"$1,010 "
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,Specialist attendances (total),12.09,27.7,"$2,707 "
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,Specialist attendances (total),17.39,43.58,"$3,715 "
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,Specialist attendances (total),29.63,84.92,"$6,781 "
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,Specialist attendances (total),50.42,172.48,"$12,854 "
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,Specialist attendances (total),19.8,53.7,"$4,508 "
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,Specialist attendances (total),22.03,60.78,"$5,082 "
2017-18,Qld,31004,Springfield - Redbank,Major cities - lower SES,Specialist attendances (total),17.56,46.58,"$3,931 "
2017-18,Qld,31101,Beaudesert,Inner regional,Allied Health subtotal - Mental Health Care,5.47,22.99,"$2,376 "
2017-18,Qld,31101,Beaudesert,Inner regional,Clinical Psychologist,2.33,9.84,1240
2017-18,Qld,31101,Beaudesert,Inner regional,Other Allied Mental Health,0.69,3.14,$252 
2017-18,Qld,31101,Beaudesert,Inner regional,Other Psychologist,2.75,10,$884 
2017-18,Qld,31101,Beaudesert,Inner regional,Allied Health subtotal - Optometry,29.28,37.57,"$1,754 "
2017-18,Qld,31101,Beaudesert,Inner regional,Allied Health subtotal - Other,6.81,16.41,$874 
2017-18,Qld,31101,Beaudesert,Inner regional,Audiology,NP,NP,NP
2017-18,Qld,31101,Beaudesert,Inner regional,Diabetes Education,0.2,0.34,$18 
2017-18,Qld,31101,Beaudesert,Inner regional,Dietetics,1.38,2.16,$115 
2017-18,Qld,31101,Beaudesert,Inner regional,Occupational Therapy,0.15,0.34,$20 
2017-18,Qld,31101,Beaudesert,Inner regional,Other Allied Health,NP,NP,NP
2017-18,Qld,31101,Beaudesert,Inner regional,Podiatry,5.2,12.75,$675 
2017-18,Qld,31101,Beaudesert,Inner regional,Speech Pathology,0.21,0.57,$33 
2017-18,Qld,31101,Beaudesert,Inner regional,Allied Health subtotal - Physical Health Care,6.73,21.24,"$1,127 "
2017-18,Qld,31101,Beaudesert,Inner regional,Chiropractic Services,1.07,3.36,$178 
2017-18,Qld,31101,Beaudesert,Inner regional,Exercise Physiology,0.96,1.74,$92 
2017-18,Qld,31101,Beaudesert,Inner regional,Osteopathy,0.08,0.18,$10 
2017-18,Qld,31101,Beaudesert,Inner regional,Physiotherapy,5.11,15.96,$847 
2017-18,Qld,31101,Beaudesert,Inner regional,Allied Health attendances (total),24.48,56.15,"$4,145 "
2017-18,Qld,31101,Beaudesert,Inner regional,Allied Health attendances (total),30.16,73.98,"$5,343 "
2017-18,Qld,31101,Beaudesert,Inner regional,Allied Health attendances (total),47.66,118.41,"$7,098 "
2017-18,Qld,31101,Beaudesert,Inner regional,Allied Health attendances (total),55.8,167.68,"$8,987 "
2017-18,Qld,31101,Beaudesert,Inner regional,Allied Health attendances (total),37.95,98.21,"$6,130 "
2017-18,Qld,31101,Beaudesert,Inner regional,Allied Health attendances (total),42.45,114.03,"$7,182 "
2017-18,Qld,31101,Beaudesert,Inner regional,Allied Health attendances (total),33.36,82.04,"$5,057 "
2017-18,Qld,31101,Beaudesert,Inner regional,Diagnostic Imaging (total),26.32,46.88,"$4,213 "
2017-18,Qld,31101,Beaudesert,Inner regional,Diagnostic Imaging (total),44.67,110.27,"$12,678 "
2017-18,Qld,31101,Beaudesert,Inner regional,Diagnostic Imaging (total),49.54,146.49,"$20,372 "
2017-18,Qld,31101,Beaudesert,Inner regional,Diagnostic Imaging (total),50.54,168.22,"$25,530 "
2017-18,Qld,31101,Beaudesert,Inner regional,Diagnostic Imaging (total),41.22,110.78,"$14,496 "
2017-18,Qld,31101,Beaudesert,Inner regional,Diagnostic Imaging (total),45.91,130.24,"$16,222 "
2017-18,Qld,31101,Beaudesert,Inner regional,Diagnostic Imaging (total),36.42,90.91,"$12,732 "
2017-18,Qld,31101,Beaudesert,Inner regional,GP After-hours (non-urgent),18.51,31.36,"$1,881 "
2017-18,Qld,31101,Beaudesert,Inner regional,GP After-hours (urgent),1.26,1.7,$215 
2017-18,Qld,31101,Beaudesert,Inner regional,GP subtotal - After-hours,19.26,33.06,"$2,096 "
2017-18,Qld,31101,Beaudesert,Inner regional,GP Chronic Disease Management Plan,21.28,61.15,"$6,055 "
2017-18,Qld,31101,Beaudesert,Inner regional,GP Health Assessment,7.39,7.7,"$1,401 "
2017-18,Qld,31101,Beaudesert,Inner regional,GP Mental Health,11.71,23.58,"$1,858 "
2017-18,Qld,31101,Beaudesert,Inner regional,GP Multidisciplinary Case Conference,0.26,0.31,$35 
2017-18,Qld,31101,Beaudesert,Inner regional,GP subtotal - Enhanced Primary Care,31.58,93.31,"$9,424 "
2017-18,Qld,31101,Beaudesert,Inner regional,Medication Management Review (domiciliary),0.29,0.29,$45 
2017-18,Qld,31101,Beaudesert,Inner regional,Medication Management Review (residential),0.27,0.28,$30 
2017-18,Qld,31101,Beaudesert,Inner regional,GP Acupuncture,0.36,1.14,$53 
2017-18,Qld,31101,Beaudesert,Inner regional,GP Long (Level C),47.72,129.09,"$9,336 "
2017-18,Qld,31101,Beaudesert,Inner regional,GP Focussed Psychological Strategies and Family Group Therapy,NP,NP,NP
2017-18,Qld,31101,Beaudesert,Inner regional,GP Pregnancy Support Counselling,0.13,0.21,$16 
2017-18,Qld,31101,Beaudesert,Inner regional,GP Prolonged - Imminent danger of death,0.13,0.14,$31 
2017-18,Qld,31101,Beaudesert,Inner regional,GP Prolonged (Level D),10.01,15.98,"$1,707 "
2017-18,Qld,31101,Beaudesert,Inner regional,GP Short (Level A),6.61,11.9,$206 
2017-18,Qld,31101,Beaudesert,Inner regional,GP Standard (Level B),80.65,420.12,"$15,734 "
2017-18,Qld,31101,Beaudesert,Inner regional,GP subtotal - Other,85.72,590.45,"$27,486 "
2017-18,Qld,31101,Beaudesert,Inner regional,GP Telehealth (patient-end),0.68,1.32,$116 
2017-18,Qld,31101,Beaudesert,Inner regional,Other Non-referred Medical Practitioner,NP,NP,NP
2017-18,Qld,31101,Beaudesert,Inner regional,Asthma Cycle of Care PIP,0.24,0.24,$14 
2017-18,Qld,31101,Beaudesert,Inner regional,Cervical Smear PIP,0.55,0.55,$44 
2017-18,Qld,31101,Beaudesert,Inner regional,Diabetes Mellitus Annual Cycle of Care PIP,1.32,1.33,$78 
2017-18,Qld,31101,Beaudesert,Inner regional,GP subtotal - PIP,2.09,2.12,$136 
2017-18,Qld,31101,Beaudesert,Inner regional,GP attendances (total),89.69,472.37,"$23,972 "
2017-18,Qld,31101,Beaudesert,Inner regional,GP attendances (total),90.82,648.14,"$34,660 "
2017-18,Qld,31101,Beaudesert,Inner regional,GP attendances (total),88.13,786.78,"$43,387 "
2017-18,Qld,31101,Beaudesert,Inner regional,GP attendances (total),77.81,"1,115.15","$63,559 "
2017-18,Qld,31101,Beaudesert,Inner regional,GP attendances (total),87.23,718.94,"$39,141 "
2017-18,Qld,31101,Beaudesert,Inner regional,GP attendances (total),89.82,809.67,"$44,175 "
2017-18,Qld,31101,Beaudesert,Inner regional,GP attendances (total),84.58,626.28,"$34,001 "
2017-18,Qld,31101,Beaudesert,Inner regional,Midwifery,0.08,0.2,$16 
2017-18,Qld,31101,Beaudesert,Inner regional,Nurse Practitioners,0.42,0.54,$16 
2017-18,Qld,31101,Beaudesert,Inner regional,Practice Nurse/Aboriginal Health Worker,9.96,15.04,$190 
2017-18,Qld,31101,Beaudesert,Inner regional,Nursing and Aboriginal Health Workers (total),2.86,3.68,$65 
2017-18,Qld,31101,Beaudesert,Inner regional,Nursing and Aboriginal Health Workers (total),6.63,8.78,$176 
2017-18,Qld,31101,Beaudesert,Inner regional,Nursing and Aboriginal Health Workers (total),14.2,21.9,$297 
2017-18,Qld,31101,Beaudesert,Inner regional,Nursing and Aboriginal Health Workers (total),21.96,35.37,$434 
2017-18,Qld,31101,Beaudesert,Inner regional,Nursing and Aboriginal Health Workers (total),10.4,15.78,$222 
2017-18,Qld,31101,Beaudesert,Inner regional,Nursing and Aboriginal Health Workers (total),11.66,17.82,$262 
2017-18,Qld,31101,Beaudesert,Inner regional,Nursing and Aboriginal Health Workers (total),9.11,13.69,$182 
2017-18,Qld,31101,Beaudesert,Inner regional,Early Intervention Services for Children,NP,NP,NP
2017-18,Qld,31101,Beaudesert,Inner regional,Psychiatry,1.72,7.22,"$1,243 "
2017-18,Qld,31101,Beaudesert,Inner regional,Specialist attendances (total),14.14,29.74,"$3,197 "
2017-18,Qld,31101,Beaudesert,Inner regional,Specialist attendances (total),19.76,47.88,"$4,655 "
2017-18,Qld,31101,Beaudesert,Inner regional,Specialist attendances (total),28.69,78.52,"$6,551 "
2017-18,Qld,31101,Beaudesert,Inner regional,Specialist attendances (total),39.92,124.27,"$9,761 "
2017-18,Qld,31101,Beaudesert,Inner regional,Specialist attendances (total),24.23,64.98,"$5,679 "
2017-18,Qld,31101,Beaudesert,Inner regional,Specialist attendances (total),26.44,72.96,"$6,385 "
2017-18,Qld,31101,Beaudesert,Inner regional,Specialist attendances (total),21.98,56.84,"$4,959 "
2017-18,Qld,31102,Beenleigh,Major cities - lower SES,Allied Health subtotal - Mental Health Care,5.44,24.36,"$2,422 "
2017-18,Qld,31102,Beenleigh,Major cities - lower SES,Clinical Psychologist,1.97,8.51,1059
2017-18,Qld,31102,Beenleigh,Major cities - lower SES,Other Allied Mental Health,0.48,2.16,$163 
2017-18,Qld,31102,Beenleigh,Major cities - lower SES,Other Psychologist,3.28,13.69,"$1,200 "
2017-18,Qld,31102,Beenleigh,Major cities - lower SES,Allied Health subtotal - Optometry,29.71,41.57,"$1,927 "
2017-18,Qld,31102,Beenleigh,Major cities - lower SES,Allied Health subtotal - Other,6.72,17.64,$944 
2017-18,Qld,31102,Beenleigh,Major cities - lower SES,Audiology,0.06,0.07,$3 
2017-18,Qld,31102,Beenleigh,Major cities - lower SES,Diabetes Education,0.23,0.38,$20 
2017-18,Qld,31102,Beenleigh,Major cities - lower SES,Dietetics,2.06,3.34,$177 
2017-18,Qld,31102,Beenleigh,Major cities - lower SES,Occupational Therapy,0.23,0.47,$30 
2017-18,Qld,31102,Beenleigh,Major cities - lower SES,Other Allied Health,0.07,0.08,$4 
2017-18,Qld,31102,Beenleigh,Major cities - lower SES,Podiatry,4.56,12.39,$656 
